"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"FL4F5",4,5,"TBML","october",14,4.1,197.452,7.179,89.68,0.0363582035127525,"F",2,50,76,126,"1",2.66666666666667,7.11111111111111,63,21,0.5,0.396825396825397,0.0661375661375661,0.46583850931677,0.047554749688155
"FL4F6",4,6,"TBML","october",14,1.7,144.463,4.346,66.446,0.0300838276929041,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL4F7",4,7,"TBML","october",14,2.1,163.219,5.99,70.72,0.0366991587989143,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL4F8",4,8,"TBML","october",14,1.7,152.466,6.161,65.521,0.0404090092217281,"F",1,395,32,427,"1",1.33333333333333,1.77777777777778,427,71.1666666666667,3.38888888888889,0.925058548009368,0.522486772486772,1.08593829548926,0.00417137804192165
"FL5F1",5,1,"TBML","october",8,1.1,155.761,4.854,57.688,0.0311631281257824,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL5F2",5,2,"TBML","october",8,1.2,138.234,4.51,59.274,0.0326258373482645,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL5F3",5,3,"FD","october",12,4.2,199.048,6.862,91.479,0.0344740967002934,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL5F4",5,4,"FD","october",12,3.5,178.421,6.389,80.983,0.03580856513527,"F",2,527,23,550,"1",4,16,275,137.5,0.904605263157895,0.958181818181818,0.433388157894737,1.02116484742252,0.000202609310468843
"FL5F5",5,5,"FD","october",12,3.1,188.505,7.037,81.81,0.0373305747858147,"F",1,384,46,430,"1",2,4,430,107.5,1.41447368421053,0.893023255813953,0.315789473684211,0.951723294539674,0.000824157339427911
"FL5F6",5,6,"FD","october",12,3.2,179.746,6.803,80.759,0.0378478519688894,"F",1,230,6,236,"1",2,4,236,59,0.776315789473684,0.974576271186441,0.189144736842105,1.03863693756592,0.000289723564881196
"FL5F7",5,7,"FD","october",12,2.9,180.301,5.71,82.105,0.0316692641749075,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL5F8",5,8,"FD","october",12,3.3,175.911,6.62,78.497,0.0376326665188647,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F1",6,1,"TBML","october",20,2.1,164.714,5.805,70.595,0.0352429058853528,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F2",6,2,"TBML","october",20,5.6,211.777,8.452,95.709,0.0399099052305019,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F3",6,3,"TBML","october",20,5.3,204.937,8.159,85.194,0.0398122349795303,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
