"momID","trial_num","fishID","col_month","lat_to_trial","weight","length","depth","svl","snout_len","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FU12F4",12,"4","july",14,1.3,141.824,3.951,57.594,8.548,0.0278584724729242,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.25413810951837
"FU12F5",12,"5","july",14,1.2,128.91,3.219,61.304,7.578,0.0249709099371655,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.440607560565142
"FU12F6",12,"6","july",14,1.6,161.704,4.493,69.243,9.717,0.0277853361697917,"F",0,0,0,0,"0",0,NA,0,NA,0,1.30026010200619
"FU13F1",13,"1","july",14,1.6,155.733,4.387,64.12,9.523,0.0281700089255328,"F",0,0,0,0,"0",0,NA,0,NA,0,0.481001936098732
"FU13F2",13,"2","july",14,1.4,149.057,3.817,60.825,8.785,0.0256076534480098,"F",1,99,17,116,"1",2,116,0.863523573200992,0.853448275862069,0.910864600326264,-0.0617415304084259
"FU13F3",13,"3","july",14,1.2,145.641,4.224,58.959,8.393,0.0290028220075391,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.369103991258913
"FU13F4",13,"4","july",14,1.3,135.686,4.413,54.883,7.799,0.0325236207125274,"F",1,90,4,94,"1",2,94,0.699751861042184,0.957446808510638,1.02185970636215,-1.04049166029781
"FU13F5",13,"5","july",14,2.1,172.765,5.499,71.71,11.911,0.0318293635863746,"F",1,193,0,193,"1",2,193,1.43672456575682,1,1.06727569331158,1.73120615788608
"FU13F6",13,"6","july",14,1.4,146.312,3.956,56.702,8.403,0.0270381103395484,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.740870912019659
"FU14F1",14,"1","july",16,1.3,112.828,3.602,68.503,8.728,0.0319246995426667,"F",0,0,0,0,"0",0,NA,0,NA,0,1.29736377456266
"FU14F2",14,"2","july",16,1.3,128.041,3.803,49.982,7.769,0.029701423762701,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.19879854017062
"FU14F3",14,"3","july",16,1.3,140.935,3.699,53.955,7.634,0.0262461418384362,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.663338636470208
"FU14F4",14,"4","july",16,3,173.357,6.242,67.229,8.167,0.0360066221727418,"F",1,161,3,164,"1",3,164,0.950724637681159,0.981707317073171,0.990769230769231,1.12566080015684
"FU14F5",14,"5","july",16,1.3,144.064,4.109,57.445,8.453,0.0285220457574411,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.192974915374202
"FU14F6",14,"6","july",16,1.3,138.641,3.923,56.147,7.567,0.0282961028844281,"F",1,181,0,181,"1",3,181,1.04927536231884,1,1.00923076923077,-0.367912482704464
"FU15F1",15,"1","july",16,1,139.341,3.93,57.564,8.67,0.0282041897216182,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.477071131761638
"FU15F2",15,"2","july",16,1.2,141.831,3.79,56.55,8.796,0.0267219437217534,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.726319802061151
"FU15F3",15,"3","july",16,1.7,157.988,4.278,61.839,9.294,0.0270780059245006,"F",0,0,0,0,"0",0,NA,0,NA,0,0.57375536284429
"FU15F4",15,"4","july",16,1.9,152.997,4.482,63.47,9.608,0.0292946920527853,"F",0,0,0,0,"0",0,NA,0,NA,0,0.974667178681078
"FU15F5",15,"5","july",16,1.8,156.164,4.405,63.707,9.971,0.0282075254219923,"F",1,68,4,72,"1",6,72,1,0.944444444444444,1,1.03292352469783
"FU15F6",15,"6","july",16,1.2,137.125,3.788,53.899,8.547,0.0276244302643573,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.37795513240041
"FU16F1",16,"1","july",18,1.6,145.232,3.839,59.05,8.927,0.0264335683595902,"F",0,0,0,0,"0",0,NA,0,NA,0,0.0870728449484397
"FU16F2",16,"2","july",18,1.3,137.934,3.789,55.767,8.205,0.0274696594023229,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.452116372214202
"FU16F3",16,"3","july",18,0.9,134.22,3.538,50.534,7.934,0.0263597079421845,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.31156723222398
"FU16F4",16,"4","july",18,1.2,145.905,4.134,60.027,9.233,0.0283335046777012,"F",0,0,0,0,"0",0,NA,0,NA,0,0.247532139851852
"FU16F5",16,"5","july",18,1.1,142.391,3.222,56.804,8.011,0.0226278346243793,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.281802872915493
