trial_num,fishID,rank_2_mate,fem_mate,NumDeveloped,NumUndeveloped,totalEggs,lat_to_preg,per_surviving,length,fem_mate_len,fem_mate_cat,depth,svl,bp_area,bp_length
E3,3,NA,NA,NA,NA,NA,NA,NA,86.77,NA,NA,,,,
E3,4,1,F7,40,0,40,1,1,87.13,9.83,m,,,,
E3,5,3,F6,14,6,20,5,0.7,87.54,9.423,s,,,,
E3,6,3,F1,16,0,16,5,1,86.84,10.205,s,,,,
E3,7,2,F7,19,0,19,4,1,87.09,9.83,m,,,,
E3,8,2,F4,21,0,21,4,1,91.91,9.624,s,,,,
E4,1,1,F5,26,5,31,2,0.838709677,86.13,10.063,m,,,,
E4,2,3,F3,30,0,30,4,1,87.79,8.862,s,,,,
E4,3,NA,NA,NA,NA,NA,NA,NA,79.21,NA,NA,,,,
E4,4,2,F5,19,1,20,3,0.95,74.27,10.063,m,,,,
E4,5,1,F7,20,0,20,2,1,75.41,9.893,m,,,,
E4,6,NA,NA,NA,NA,NA,NA,NA,86.21,NA,NA,,,,
E4,7,1,F7,34,0,34,2,1,88.9,9.893,m,,,,
E4,8,1,F6,24,3,27,2,0.888888889,83.06,9.283,s,,,,
E5,1,3,F7,31,1,32,3,0.96875,78.72,9.283,s,,,,
E5,2,2,F1,18,4,22,2,0.818181818,81.17,10.028,s,,,,
E5,3,2,F4,42,5,47,2,0.893617021,96.36,11.076,m,,,,
E5,4,4,F4,30,0,30,6,1,83.8,11.076,m,,,,
E5,5,3,F6,35,2,37,3,0.945945946,94.47,10.072,m,,,,
E5,6,1,F5,17,1,18,1,0.944444444,80.06,9.725,s,,,,
E5,7,1,F6,14,7,21,1,0.666666667,82.83,10.072,m,,,,
E5,8,1,F3,22,10,32,1,0.6875,92.2,10.998,s,,,,
E6,1,1,F4,28,6,34,1,0.823529412,93.09,8.879,s,,,,
E6,2,1,F5,60,0,60,1,1,86.685,9.713,s,,,,
E6,3,1,F2,41,1,42,1,0.976190476,92.124,9.318,m,,,,
E6,4,3,F3,19,0,19,4,1,81.68,9.835,m,,,,
E6,5,2,F2,14,2,17,2,0.882352941,89.493,9.318,m,,,,
E6,6,1,F8,22,2,24,1,0.916666667,93.678,10.735,s,,,,
E6,7,1,F3,56,0,56,1,1,94.225,9.835,m,,,,
E6,8,1,F6,53,1,54,1,0.981132075,95.637,11.251,s,,,,
E7,1,2,F5,20,0,20,2,1,82.8,10.355,m,,,,
E7,2,4,F5,35,2,37,7,0.945945946,100.7,10.355,m,,,,
E7,3,1,F2,56,0,56,1,1,86.16,9.996,m,,,,
E7,4,1,F5,36,0,36,1,1,98.11,10.355,m,,,,
E7,5,2,F3,24,0,24,2,1,104.83,9.31,s,,,,
E7,6,2,F5,11,0,11,1,1,95.81,10.355,m,,,,
E7,7,3,F2,24,1,25,4,0.96,93.13,9.996,m,,,,
E7,8,1,F2,21,0,21,1,1,93.88,9.996,m,,,,
E8,1,1,F4,21,3,24,1,0.875,82.67,10.769,m,,,,
E8,2,4,F1,0,7,7,4,0,76.45,10.189,s,,,,
E8,3,2,F5,58,0,58,2,1,93.21,10.9,m,,,,
E8,4,NA,NA,NA,NA,NA,NA,NA,84.49,NA,NA,,,,
E8,5,1,F5,46,0,46,1,1,86.1,10.9,m,,,,
E8,6,13,F4,49,5,54,13,0.907407407,107.57,10.769,m,,,,
E8,7,5,F5,21,1,22,5,0.954545455,94.94,10.9,m,,,,
E8,8,1,F8,11,6,17,1,0.647058824,88.92,9.999,s,,,,
