"trial_num","I_1","I_1per","I_2","I_2per","I_3","I_3per","I_12","I_12per","I","Iper","Sex"
1,1.10185185185185,112.488364491626,0.0161078238001311,1.64445224805018,0.000281886762060727,0.0287778985738953,0.98641244795091,100.703123380599,0.979525177409684,100,"F"
3,0.909620991253644,90.3883637260113,0.0887976911660471,8.82376075785678,0.000112310852318768,0.0111602461545837,1.00470303523948,99.8365959658583,1.00634744756628,100,"F"
4,3.61142857142857,84.98771536738,0.00940623162845406,0.22135676243002,0.0226712781418623,0.533522980069109,3.81008818342152,89.662770189902,4.24935363401321,100,"F"
5,1.65597667638484,103.743278851242,0.00646302939814346,0.404894507656431,0.00836089457914539,0.523791566716816,1.59243514505526,99.7625423485095,1.5962255046511,100,"F"
6,1.65597667638484,139.906248562901,0.105392295641999,8.90413549959782,0.00903488117554948,0.763317714258042,1.21865504029594,102.958850454518,1.18363310673741,100,"F"
7,1.28279883381924,72.8333436576432,0.160089085178265,9.08936229846095,0.0217519558182032,1.23500866353009,1.6311647132099,92.6124790476524,1.76127961370152,100,"F"
8,0.857142857142857,120.56663895816,0.0696028592991299,9.79041327550278,0.00170794997742362,0.240242086334403,0.773670688318901,108.825353642899,0.710928715065457,100,"F"
1,0.194444444444444,63.5180792178851,0.0921698984302859,30.1086252514251,0.000351021504782727,0.114666231846706,0.301975992613112,98.6448086778812,0.306124566168704,100,"M"
3,0,0,0.114555098802106,113.785416644167,0.00342663240390832,3.40360926612848,0.114555098802106,113.785416644167,0.100676433044444,100,"M"
4,0.685714285714286,83.3107299561229,0.0238291201254164,2.89511452979667,0.0307910991622568,3.74095888156518,0.723840877914952,87.9429132037975,0.823080395617023,100,"M"
5,0,0,0.0553579512384402,24.2828981073322,0.186287519323736,81.7154672311069,0.0553579512384402,24.2828981073322,0.227970940675013,100,"M"
6,0,0,0.0616085908393602,21.2515593533888,0.151338324924423,52.2033591542412,0.0616085908393601,21.2515593533888,0.289901507060638,100,"M"
7,0.163265306122449,29.6373041546787,0.227997659626672,41.3880704075774,0.0492195665529634,8.93475349378621,0.423834059981503,76.9379560490529,0.550877722448569,100,"M"
8,0,0,0.110287252155764,93.8222500726004,0.00180749514808575,1.53765062120872,0.110287252155764,93.8222500726004,0.117549144334551,100,"M"
