"momID","trial_num","fishID","col_month","lat_to_trial","weight","length","depth","svl","snout_len","depth_adj","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated"
"FU3F3",3,"3","june",14,2.2,168.442,6.195,70.417,9.862,0.0879759149069117,0,0,0,0,0
"FU3F4",3,"4","june",14,2.4,163.254,6.016,67.457,11.077,0.0891827386334999,0,0,0,0,0
"FU3F5",3,"5","june",14,1.6,145.841,4.078,60.131,8.751,0.0678185960652575,0,0,0,0,0
"FU3F6",3,"6","june",14,1.6,140.506,4.322,67.149,9.4,0.0643643241150278,0,0,0,0,0
"FU5F1",5,"1","june",16,1.7,160.023,3.869,62.698,9.434,0.0617085074484035,0,0,0,0,0
"FU5F2",5,"2","june",16,2,175.113,4.684,69.898,9.656,0.0670119316718647,1,297,10,307,1
"FU5F3",5,"3","june",16,2.3,166.566,4.777,67.942,9.514,0.0703099702687587,0,0,0,0,0
"FU5F4",5,"4","june",16,2.2,182.02,5.301,70.217,11.633,0.0754945383596565,0,0,0,0,0
"FU5F5",5,"5","june",16,1.8,168.869,5.62,65.224,8.928,0.0861646019869986,0,0,0,0,0
"FU5F6",5,"6","june",16,1.8,146.716,4.209,62.629,8.902,0.0672052882849798,0,0,0,0,0
"FU6F1",6,"1","june",15,2.5,166.309,4.823,69.53,10.342,0.0693657414065871,0,0,0,0,0
"FU6F2",6,"2","june",15,2.2,165.24,5.552,65.562,11.152,0.0846832006345139,0,0,0,0,0
"FU6F3",6,"3","june",15,2.1,177.969,5.266,73.5,10.13,0.0716462585034014,0,0,0,0,0
"FU6F4",6,"4","june",16,2.8,193.007,5.064,77.818,10.9,0.0650749183993421,0,0,0,0,0
"FU6F5",6,"5","june",16,2,170.007,4.883,66.432,9.072,0.0735037331406551,0,0,0,0,0
"FU6F6",6,"6","june",16,2.2,167.565,6.075,67.957,10.558,0.0893947643362715,0,0,0,0,0
"FU6FUM",6,"UM","june",15,2.3,170.546,6.213,64.929,9.44,0.0956891373654299,1,528,12,540,1
