"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","depth","svl","femID","depth_adj","Sex","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"C7",1,0,"","0",0,0,0,91.14,4.962,38.22,"C7F1",0.0544437129690586,"F","0",0,NA,0,NA,0,NA
"C7",2,1,"1","s",26,25,1,99.71,5.154,41.021,"C7F2",0.051689900712065,"F","1",1.14285714285714,26,1.04,0.961538461538462,1.20985179744507,NA
"C7",3,2,"4,9","m",47,37,10,100.07,5.291,41.371,"C7F3",0.0528729889077646,"F","1",2.28571428571429,23.5,0.94,0.787234042553192,0.990533982248643,NA
"C7",4,0,"","0",0,0,0,94.68,4.442,39.924,"C7F4",0.0469159273341783,"F","0",0,NA,0,NA,0,NA
"C7",5,0,"","0",0,0,0,102.52,NA,NA,"C7F5",NA,"F","0",0,NA,0,NA,0,NA
"C7",6,2,"1,7","m",26,15,11,104.16,5.5,45.603,"C7F6",0.0528033794162826,"F","1",2.28571428571429,13,0.52,0.576923076923077,0.725911078467041,NA
"C7",7,0,"","0",0,0,0,98.91,5.066,41.686,"C7F7",0.051218279243757,"F","0",0,NA,0,NA,0,NA
"C7",8,2,"1,9","m",75,64,11,91.64,5.091,38.576,"C7F8",0.0555543430816237,"F","1",2.28571428571429,37.5,1.5,0.853333333333333,1.07370314183925,NA
"C8",1,1,"1","s",44,43,1,99.65,5.732,43.456,"C8F1",0.0575213246362268,"F","1",1,44,1.11549295774648,0.977272727272727,0.998598405159217,-0.15311624385824
"C8",2,0,"","0",0,0,0,91.97,4.968,39.921,"C8F2",0.0540176144394911,"F","0",0,NA,0,NA,0,-1.2307985177037
"C8",3,1,"3","s",53,52,1,99.74,4.99,44.143,"C8F3",0.0500300782033287,"F","1",1,53,1.34366197183099,0.981132075471698,1.00254197060302,0.0563229986118669
"C8",4,1,"1","s",25,25,0,105.14,4.891,41.768,"C8F4",0.0465189271447594,"F","1",1,25,0.633802816901408,1,1.02182162388385,-0.667720961892507
"C8",5,1,"2","s",51,51,0,95.53,5.401,42.731,"C8F5",0.0565372134408039,"F","1",1,51,1.29295774647887,1,1.02182162388385,-0.374140189696418
"C8",6,1,"2","s",29,29,0,101.63,4.397,43.535,"C8F6",0.0432647840204664,"F","1",1,29,0.735211267605634,1,1.02182162388385,-0.129032255277254
"C8",7,0,"","0",0,0,0,110.949,4.852,45.001,"C8F7",0.0437318047030618,"F","0",0,NA,0,NA,0,0.317893406238288
"C8",8,3,"1,1,2","m",104,95,9,116.04,6.469,51.111,"C8F8",0.0557480179248535,"F","1",3,34.6666666666667,0.87887323943662,0.913461538461539,0.933394752586209,2.18059176357796
