"maleID","trial_num","fishID","col_date","lat_to_trial","weight","length","depth","svl","snout_len","bp_area","bp_length","preg_status","lat_to_preg","depth_adj","Sex","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FU13M4",13,"4","july",14,1.1,124.637,3.632,47.75,6.94,103.163,29.944,0,NA,0.0291406243731797,"M",0,0,0,0,0,NA,0,NA,0,-0.296938788515139
"FU13M5",13,"5","july",14,0.9,112.065,3.318,42.673,5.964,74.098,22.308,1,30,0.0296078168919823,"M",1,193,0,193,2,193,1.43672456575682,1,1.06727569331158,-1.25900530369788
"FU13M6",13,"6","july",14,1.2,133.186,3.572,50.65,7.653,91.075,28.18,1,2,0.0268196356974457,"M",1,90,4,94,2,94,0.699751861042184,0.957446808510638,1.02185970636215,0.252596940070631
"FU14M1",14,"1","july",16,0.9,116.07,2.963,44.22,7.013,69.438,25.702,0,NA,0.0255276988024468,"M",0,0,0,0,0,NA,0,NA,0,-1.03053175804954
"FU14M2",14,"2","july",16,1.4,136.652,3.766,53.407,7.854,118.377,34.728,0,NA,0.0275590551181102,"M",0,0,0,0,0,NA,0,NA,0,0.597444385222942
"FU14M3",14,"3","july",16,0.8,116.985,3.09,44.291,6.552,73.302,24.666,0,NA,0.0264136427747147,"M",0,0,0,0,0,NA,0,NA,0,-1.01795025090114
"FU14M4",14,"4","july",16,1.2,130.409,3.467,49.684,7.27,91.763,29.544,0,NA,0.0265855884179773,"M",0,0,0,0,0,NA,0,NA,0,-0.0622873206008794
"FU14M5",14,"5","july",16,1.2,126.656,3.816,49.591,7.958,72.205,25.15,1,3,0.0301288529560384,"M",1,161,3,164,3,164,0.950724637681159,0.981707317073171,0.990769230769231,-0.0787673229220218
"FU14M6",14,"6","july",16,1.8,158.934,4.091,59.02,9.124,119.572,35.842,1,32,0.0257402443781696,"M",1,181,0,181,3,181,1.04927536231884,1,1.00923076923077,1.59209226725064
"FU15M1",15,"1","july",16,1.1,131.234,3.497,49.493,7.765,97.573,31.638,0,NA,0.0266470579270616,"M",0,0,0,0,0,NA,0,NA,0,-0.946532539235908
"FU15M2",15,"2","july",16,1.3,143.057,3.557,53.082,8.224,111.123,32.844,0,NA,0.0248642149632664,"M",0,0,0,0,0,NA,0,NA,0,-0.242152966373964
"FU15M3",15,"3","july",16,1.4,132.43,3.784,54.137,8.603,97.087,29.204,0,NA,0.028573586045458,"M",0,0,0,0,0,NA,0,NA,0,-0.035097951225079
"FU15M4",15,"4","july",16,1.4,136.583,3.673,54.599,8.946,126.428,34.52,0,NA,0.0268920729519779,"M",0,0,0,0,0,NA,0,NA,0,0.0555744819491242
"FU15M5",15,"5","july",16,1.2,130.241,3.452,50.689,8.123,90.058,28.457,1,14,0.0265047104982302,"M",1,68,4,72,6,72,1,0.944444444444444,1,-0.711804768507882
"FU15M6",15,"6","july",16,1.8,160.45,4.148,63.895,8.957,151.38,37.79,0,NA,0.0258522904331567,"M",0,0,0,0,0,NA,0,NA,0,1.88001374339371
"FU16M1",16,"1","july",18,1.3,128.029,3.65,50.919,8.119,108.585,32.774,0,NA,0.0285091658921026,"M",0,0,0,0,0,NA,0,NA,0,-0.0487546510551319
"FU16M2",16,"2","july",18,1,118.217,3.366,45.611,7.418,99.736,31.228,0,NA,0.0284730622499302,"M",0,0,0,0,0,NA,0,NA,0,-1.09086077642683
"FU16M3",16,"3","july",18,2,151.937,4.199,55.174,8.593,NA,NA,0,NA,0.0276364545831496,"M",0,0,0,0,0,NA,0,NA,0,0.786618665345882
"FU16M4",16,"4","july",18,1.2,118.999,3.637,45.189,7.112,93.519,27.773,0,NA,0.0305632820443869,"M",0,0,0,0,0,NA,0,NA,0,-1.17371096197823
"FU16M5",16,"5","july",18,2.3,146.555,4.635,57.95,11.008,157.067,36.364,0,NA,0.0316263518815462,"M",0,0,0,0,0,NA,0,NA,0,1.33162367740915
"FU16M6",16,"6","july",18,1.2,132.773,3.582,52.161,8.464,88.837,28.501,1,3,0.0269783766277782,"M",1,197,6,203,6,203,1,0.970443349753695,1,0.195084046705165
"FU1M1",1,"1","june",11,1.6,125.907,3.333,47.999,8.112,95.388,26.878,0,NA,0.0264719197502919,"M",0,0,0,0,0,NA,0,NA,0,-1.16776384676292
"FU1M2",1,"2","june",11,1.5,158.396,4.116,61.756,9.438,142.017,32.76,1,1,0.0259855046844617,"M",1,323,18,341,3,341,1.10177705977383,0.947214076246334,0.991202216555728,1.37134271873692
"FU1M3",1,"3","june",11,2.1,153.734,4.624,60.08,9.043,121.587,34.59,0,NA,0.0300779268086435,"M",0,0,0,0,0,NA,0,NA,0,1.06200619160326
"FU1M4",1,"4","june",11,1.9,159.168,4.458,53.173,9.146,113.186,31.277,0,NA,0.0280081423401689,"M",0,0,0,0,0,NA,0,NA,0,-0.212807288654598
"FU1M5",1,"5","june",11,1.9,148.567,4.405,52.12,8.512,123.307,35.703,0,NA,0.0296499222572981,"M",0,0,0,0,0,NA,0,NA,0,-0.407157743948
"FU1M6",1,"6","june",11,1.3,127.965,4.041,50.828,8.16,107.672,31.552,1,1,0.0315789473684211,"M",1,268,10,278,3,278,0.898222940226171,0.964028776978417,1.00879778344427,-0.64562003097466
"FU2M1",2,"1","june",12,1.6,151.653,3.984,56.593,8.571,128.074,36.291,1,4,0.0262704990999189,"M",1,473,5,478,4,478,1.80037664783427,0.989539748953975,1.0042663995994,-0.40198836088267
"FU2M2",2,"2","june",12,2,168.685,4.361,65.838,9.343,142.132,36.466,0,NA,0.0258529211251741,"M",0,0,0,0,0,NA,0,NA,0,1.11242989354288
"FU2M3",2,"3","june",12,1.7,152.954,4.329,59.285,7.834,129.101,39.339,0,NA,0.0283026269335879,"M",0,0,0,0,0,NA,0,NA,0,0.0389866462469746
"FU2M4",2,"4","june",12,1.3,148.564,3.704,52.84,8.107,127.845,37.157,0,NA,0.0249320158315608,"M",0,0,0,0,0,NA,0,NA,0,-1.01676518174358
"FU2M5",2,"5","june",12,1.4,146.875,4.208,57.263,9.009,132.398,32.21,0,NA,0.0286502127659574,"M",0,0,0,0,0,NA,0,NA,0,-0.292236037414297
"FU2M6",2,"6","june",12,1.5,145.791,3.77,52.205,8.869,103.303,32.507,1,36,0.0258589350508605,"M",0,0,0,0,0,NA,0,NA,0,-1.12078417488152
"FU2MG",2,"G","june",11,2.9,176.369,5.026,69.987,9.309,174.817,42.269,0,NA,0.0284970714808158,"M",0,0,0,0,0,NA,0,NA,0,1.79207525185673
"FU2MS",2,"S","june",11,1.7,154.38,4.234,58.365,8.392,136.086,36.813,1,7,0.0274258323617049,"M",1,52,1,53,4,53,0.199623352165725,0.981132075471698,0.995733600400601,-0.111718036724523
"FU3M1",3,"1","june",14,1.9,161.462,4.606,64.601,9.552,104.743,30.113,0,NA,0.0285268360357236,"M",0,0,0,0,0,NA,0,NA,0,1.25767928720314
"FU3M2",3,"2","june",14,1.5,161.597,3.861,56.395,9.621,145.694,36.801,0,NA,0.0238927702865771,"M",0,0,0,0,0,NA,0,NA,0,0.490440226073232
"FU3M3",3,"3","june",14,1.9,162.982,4.067,53.414,10.053,143.208,34.866,0,NA,0.0249536758660466,"M",0,0,0,0,0,NA,0,NA,0,0.211724695823626
"FU3M4",3,"4","june",14,1.8,144.103,4.32,53.107,8.571,144.103,33.208,1,1,0.0299785570043649,"M",1,566,41,607,6,607,1,0.932454695222405,1,0.183021016592956
"FU3M5",3,"5","june",14,1.5,119.092,3.783,46.469,8.36,119.092,33.596,0,NA,0.0317653578745844,"M",0,0,0,0,0,NA,0,NA,0,-0.43761423660962
"FU3M6",3,"6","june",14,1.8,160.743,4.182,32.911,8.732,142.916,32.9011,0,NA,0.0260166850189433,"M",0,0,0,0,0,NA,0,NA,0,-1.70525098908334
"FU5M1",5,"1","june",16,1.2,153.282,3.795,58.286,8.472,157.149,37.687,0,NA,0.0247582886444592,"M",0,0,0,0,0,NA,0,NA,0,0.624814440287782
"FU5M2",5,"2","june",16,1.9,158.636,4.244,61.727,9.22,132.507,36.021,0,NA,0.0267530699210772,"M",0,0,0,0,0,NA,0,NA,0,1.77731322829649
"FU5M3",5,"3","june",16,1.3,143.305,3.719,54.733,8.343,136.013,33.186,0,NA,0.0259516416035728,"M",0,0,0,0,0,NA,0,NA,0,-0.565196659332956
"FU5M4",5,"4","june",16,1.5,143.472,3.331,54.568,8.122,122.523,35.565,0,NA,0.0232170737147318,"M",0,0,0,0,0,NA,0,NA,0,-0.620460332689956
"FU5M5",5,"5","june",16,1.6,148.654,3.531,54.774,7.455,144.621,37.027,1,6,0.0237531448867841,"M",1,297,10,307,6,307,1,0.96742671009772,1,-0.551464473832125
"FU5M6",5,"6","june",16,1.3,143.845,3.812,54.435,8.022,113.96,34.845,0,NA,0.0265007473321979,"M",0,0,0,0,0,NA,0,NA,0,-0.665006202729234
"FU6M1",6,"1","june",15,1.9,163.517,4.742,65.128,9.81,150.481,40.957,0,NA,0.0290000428090046,"M",0,0,0,0,0,NA,0,NA,0,0.983589972260611
"FU6M2",6,"2","june",15,2,148.06,4.343,56.048,8.366,127.697,35.93,0,NA,0.0293327029582602,"M",0,0,0,0,0,NA,0,NA,0,-1.21634358914665
"FU6M3",6,"3","june",15,1.9,167.755,3.959,59.99,9.524,130.743,45.662,0,NA,0.0235998927006647,"M",0,0,0,0,0,NA,0,NA,0,-0.261262300703102
"FU6M4",6,"4","june",15,1.5,148.43,3.627,58.459,8.102,149.911,39.633,1,4,0.0244357609647645,"M",1,528,12,540,6,540,1,0.977777777777778,1,-0.632198234900736
"FU6M5",6,"5","june",15,1.8,156.137,4.658,59.877,9.026,158.628,37.374,0,NA,0.0298327750629255,"M",0,0,0,0,0,NA,0,NA,0,-0.288640328504756
"FU6M6",6,"6","june",15,2.3,173.826,4.746,66.908,9.236,156.289,40.916,0,NA,0.0273031652341997,"M",0,0,0,0,0,NA,0,NA,0,1.41485448099463
