"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","prop_surviving","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL5F3",5,3,"FD","october",12,4.2,199.048,6.862,91.479,0.0344740967002934,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.26173941113287
"FL5F4",5,4,"FD","october",12,3.5,178.421,6.389,80.983,0.03580856513527,"F",2,527,23,550,1,0.958181818181818,4,275,0.87672688629118,0.958181818181818,1.01725685869021,0.373208712826095
"FL5F5",5,5,"FD","october",12,3.1,188.505,7.037,81.81,0.0373305747858147,"F",1,384,46,430,1,0.893023255813953,2,430,1.37088204038257,0.893023255813953,0.948081058008792,0.443217753174771
"FL5F6",5,6,"FD","october",12,3.2,179.746,6.803,80.759,0.0378478519688894,"F",1,230,6,236,1,0.974576271186441,2,236,0.752391073326249,0.974576271186441,1.034662083301,0.354246167435402
"FL5F7",5,7,"FD","october",12,2.9,180.301,5.71,82.105,0.0316692641749075,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.46819074822055
"FL5F8",5,8,"FD","october",12,3.3,175.911,6.62,78.497,0.0376326665188647,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.162758320677597
"FL6F1",6,1,"TBML","october",20,2.1,164.714,5.805,70.595,0.0352429058853528,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.04901594458293
"FL6F2",6,2,"TBML","october",20,5.6,211.777,8.452,95.709,0.0399099052305019,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.17058398230846
"FL6F3",6,3,"TBML","october",20,5.3,204.937,8.159,85.194,0.0398122349795303,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.241257979630156
"FL6F4",6,4,"TBML","october",11,1.7,152.162,5.249,69.552,0.0344961291255373,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.14119730652239
"FL6F5",6,5,"TBML","october",13,3,170.718,7.772,79.468,0.0455253693225085,"F",1,263,0,263,1,1,4,263,1.20091324200913,1,1,-0.264811510748918
"FL6F6",6,6,"TBML","october",13,6.1,215.716,8.912,97.194,0.0413135789649354,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.30182973732294
"FL6F7",6,7,"TBML","october",13,5.7,204.212,9.391,90.367,0.0459865238085911,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.698452788175555
"FL6F8",6,8,"TBML","october",13,2.1,160.683,5.807,71.635,0.0361394795964726,"F",1,175,0,175,1,1,4,175,0.799086757990868,1,1,-0.957099725582883
"FL8F1",8,1,"TBML","october",28,3.2,187.551,5.919,87.162,0.0315594158388918,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.133048750245741
"FL8F2",8,2,"TBML","october",28,5.3,213.903,7.713,98.804,0.0360584003029411,"F",1,7,66,73,1,0.0958904109589041,4,73,0.610878661087866,0.0958904109589041,0.196615905245347,1.08208975529187
"FL8F3",8,3,"TBML","october",30,4.5,204.794,7.912,88.361,0.0386339443538385,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.230789702406049
"FL8F4",8,4,"TBML","october",28,7.1,224.516,8.608,103.74,0.038340251919685,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.48446618553648
"FL8F5",8,5,"TBML","october",28,2.7,174.166,6.447,74.061,0.03701640963219,"F",1,146,20,166,1,0.879518072289157,4,166,1.38912133891213,0.879518072289157,1.80338409475465,-0.934928075652675
"FL8F6",8,6,"TBML","october",28,3.7,190.161,6.365,84.046,0.0334716371916429,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.120963599155027
"FL8F7",8,7,"DC","october",21,2.8,179.241,5.923,82.302,0.0330448948622246,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.263132256842748
"FL8F8",8,8,"TBML","october",28,1.7,151.385,4.692,65.763,0.0309938236945536,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.61137046182969
