"trial_num","I_1","I_1per","I_2","I_2per","I_3","I_3per","I_12","I_12per","I","Iper","Sex"
10,2.4,99.9866013287909,0.000104033373906187,0.00433414311735291,2.3794630535441e-08,9.9131009879709e-07,2.40031210012172,99.999603758143,2.40032161120065,100,"F"
11,2.8,76.4275308578634,0.0753725364524921,2.05733459127081,0.00092607186307498,0.0252776378184865,3.56808203813492,97.3927500260515,3.66360128159487,100,"F"
12,6,100,0,0,0,0,6,100,6,100,"F"
13,1.2,78.8880719660929,0.119801242541978,7.87574086939907,0.00519411425193786,0.341461382422485,1.43960248508395,94.639553704891,1.52114251254077,100,"F"
14,2.4,99.489639685618,0.00291367359798356,0.120783473510368,0.000101907528770579,0.00422447638276527,2.40874102079395,99.8519901061491,2.41231148045553,100,"F"
15,6,100,0,0,0,0,6,100,6,100,"F"
16,6,100,0,0,0,0,6,100,6,100,"F"
1,2.4,98.7175628182246,0.0124302838754468,0.511286387217826,9.2083908258189e-05,0.00378762458251059,2.43729085162634,100.251421979878,2.43117833492231,100,"F"
2,2.4,50.901546021923,0.768723334078117,16.3038359032097,7.7968302660135e-06,0.00016536279775442,4.70617000223435,99.8130537315522,4.71498448979592,100,"F"
3,6,100,0,0,0,0,6,100,6,100,"F"
5,6,100,0,0,0,0,6,100,6,100,"F"
6,7,100,0,0,0,0,7,100,7,100,"F"
10,2.4,99.9866013287909,0.000104033373906187,0.00433414311735291,2.3794630535441e-08,9.9131009879709e-07,2.40031210012172,99.999603758143,2.40032161120065,100,"M"
11,2.8,115.129691433925,0.285555199487262,11.7413864301147,0.00126782101567246,0.0521299436885054,2.4576830636116,101.054390269995,2.43203987184051,100,"M"
12,2.4,65.4446025919545,0.257418282548477,7.01943216720354,0.0258754979487484,0.705588200051989,3.17225484764543,86.5028990935651,3.66722373572034,100,"M"
13,1.2,78.8880719660929,0.119801242541978,7.87574086939907,0.00519411425193786,0.341461382422485,1.43960248508395,94.639553704891,1.52114251254077,100,"M"
14,2.4,99.489639685618,0.00291367359798356,0.120783473510368,0.000101907528770579,0.00422447638276527,2.40874102079395,99.8519901061491,2.41231148045553,100,"M"
15,6,100,0,0,0,0,6,100,6,100,"M"
16,6,100,0,0,0,0,6,100,6,100,"M"
1,2.4,98.7175628182246,0.0124302838754468,0.511286387217826,9.2083908258189e-05,0.00378762458251059,2.43729085162634,100.251421979878,2.43117833492231,100,"M"
2,3.42857142857143,53.8386510565235,0.732117461026778,11.4963964840109,7.42555263429838e-06,0.000116603006677453,6.35704127267854,99.824236992567,6.36823427275672,100,"M"
3,6,100,0,0,0,0,6,100,6,100,"M"
5,6,100,0,0,0,0,6,100,6,100,"M"
6,6,100,0,0,0,0,6,100,6,100,"M"
