"trial","MatingSuccess","rel_repo_fitness","Sex"
1,1.16666666666667,1.47368421052632,"M"
1,0,0,"M"
1,1.16666666666667,1.51052631578947,"M"
1,1.16666666666667,0.7,"M"
1,1.16666666666667,1.28947368421053,"M"
1,1.16666666666667,1.28947368421053,"M"
1,1.16666666666667,0.736842105263158,"M"
3,1,0.618357487922705,"M"
3,1,0.927536231884058,"M"
3,1,0.927536231884058,"M"
3,1,1.1207729468599,"M"
3,1,1.6231884057971,"M"
3,1,0.772946859903382,"M"
3,1,1.31400966183575,"M"
3,1,0.695652173913043,"M"
4,0,0,"M"
4,0,0,"M"
4,1.6,1.6,"M"
4,1.6,2.01481481481481,"M"
4,1.6,1.54074074074074,"M"
4,0,0,"M"
4,1.6,1.3037037037037,"M"
4,1.6,1.54074074074074,"M"
5,1,1.36170212765957,"M"
5,1,1.14893617021277,"M"
5,1,0.936170212765957,"M"
5,1,1.06382978723404,"M"
5,1,1.06382978723404,"M"
5,1,1.06382978723404,"M"
5,1,0.765957446808511,"M"
5,1,0.595744680851064,"M"
6,1,0.753846153846154,"M"
6,1,1.14871794871795,"M"
6,1,1.22051282051282,"M"
6,1,1.36410256410256,"M"
6,1,0.753846153846154,"M"
6,1,0.78974358974359,"M"
6,1,0.969230769230769,"M"
7,1.14285714285714,1.51724137931034,"M"
7,0,0,"M"
7,1.14285714285714,1.93103448275862,"M"
7,1.14285714285714,0.32183908045977,"M"
7,1.14285714285714,0.689655172413793,"M"
7,1.14285714285714,1.19540229885057,"M"
7,1.14285714285714,0.873563218390805,"M"
7,1.14285714285714,1.47126436781609,"M"
8,1,1.12418300653595,"M"
8,1,0.758169934640523,"M"
8,1,1.12418300653595,"M"
8,1,1.33333333333333,"M"
8,1,1.15032679738562,"M"
8,1,1.38562091503268,"M"
8,1,0.65359477124183,"M"
8,1,0.470588235294118,"M"
