"maleID","trial_num","fishID","col_date","lat_to_trial","weight","length","depth","svl","snout_len","bp_area","bp_length","preg_status","lat_to_preg","depth_adj","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs"
"FU1M6",1,"6","june",11,1.3,127.965,4.041,50.828,8.16,107.672,31.552,1,1,0.0795034233099866,1,268,10,278
"FU2M1",2,"1","june",12,1.6,151.653,3.984,56.593,8.571,128.074,36.291,1,4,0.0703973989716043,1,473,5,478
"FU2M2",2,"2","june",12,2,168.685,4.361,65.838,9.343,142.132,36.466,0,NA,0.0662383425984994,0,0,0,0
"FU2M3",2,"3","june",12,1.7,152.954,4.329,59.285,7.834,129.101,39.339,0,NA,0.0730201568693599,0,0,0,0
"FU2M4",2,"4","june",12,1.3,148.564,3.704,52.84,8.107,127.845,37.157,0,NA,0.0700984102952309,0,0,0,0
"FU2M5",2,"5","june",12,1.4,146.875,4.208,57.263,9.009,132.398,32.21,0,NA,0.0734854967430976,0,0,0,0
"FU2M6",2,"6","june",12,1.5,145.791,3.77,52.205,8.869,103.303,32.507,1,36,0.0722153050474093,0,0,0,0
"FU2MG",2,"G","june",11,2.9,176.369,5.026,69.987,9.309,174.817,42.269,0,NA,0.0718133367625416,0,0,0,0
"FU2MS",2,"S","june",11,1.7,154.38,4.234,58.365,8.392,136.086,36.813,1,7,0.0725434763985265,1,52,1,53
"FU3M1",3,"1","june",14,1.9,161.462,4.606,64.601,9.552,104.743,30.113,0,NA,0.0712992058946456,0,0,0,0
"FU3M2",3,"2","june",14,1.5,161.597,3.861,56.395,9.621,145.694,36.801,0,NA,0.0684635162691728,0,0,0,0
"FU3M3",3,"3","june",14,1.9,162.982,4.067,53.414,10.053,143.208,34.866,0,NA,0.0761410866065077,0,0,0,0
"FU3M4",3,"4","june",14,1.8,144.103,4.32,53.107,8.571,144.103,33.208,1,1,0.081345208729546,1,566,41,607
"FU3M5",3,"5","june",14,1.5,119.092,3.783,46.469,8.36,119.092,33.596,0,NA,0.0814091114506445,0,0,0,0
"FU3M6",3,"6","june",14,1.8,160.743,4.182,32.911,8.732,142.916,32.9011,0,NA,0.127069976603567,0,0,0,0
