trial_num,fishID,col_date,lat_to_trial,weight,length,depth,svl,snout_len,bp_area,bp_length,preg_status,lat_to_preg
14,4,july,16,1.2,130.409,3.467,49.684,7.27,91.763,29.544,0,NA
14,5,july,16,1.2,126.656,3.816,49.591,7.958,72.205,25.15,1,3
14,6,july,16,1.8,158.934,4.091,59.02,9.124,119.572,35.842,1,32
15,1,july,16,1.1,131.234,3.497,49.493,7.765,97.573,31.638,0,NA
15,2,july,16,1.3,143.057,3.557,53.082,8.224,111.123,32.844,0,NA
15,3,july,16,1.4,132.43,3.784,54.137,8.603,97.087,29.204,0,NA
15,4,july,16,1.4,136.583,3.673,54.599,8.946,126.428,34.52,0,NA
15,5,july,16,1.2,130.241,3.452,50.689,8.123,90.058,28.457,1,14
15,6,july,16,1.8,160.45,4.148,63.895,8.957,151.38,37.79,0,NA
16,1,july,18,1.3,128.029,3.65,50.919,8.119,108.585,32.774,0,NA
16,2,july,18,1,118.217,3.366,45.611,7.418,99.736,31.228,0,NA
16,3,july,18,2,151.937,4.199,55.174,8.593,NA,NA,0,NA
16,4,july,18,1.2,118.999,3.637,45.189,7.112,93.519,27.773,0,NA
16,5,july,18,2.3,146.555,4.635,57.95,11.008,157.067,36.364,0,NA
16,6,july,18,1.2,132.773,3.582,52.161,8.464,88.837,28.501,1,3
