"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","depth","svl","bp_area","bp_length","maleID","MatingSuccess","depth_adj"
"C7",5,4,"F3",15,0,15,9,1,98.48,"10.007","m",3.565,38.051,46.716,16.814,"C7M5",1,0.093690047567738
"C7",6,1,"F2",25,1,26,1,0.961538462,89.61,"9.971","s",3.299,33.947,44.346,14.442,"C7M6",1,0.0971808996376705
"C7",7,1,"F6",13,6,19,1,0.684210526,89.95,"10.416","m",3.518,35.387,47.336,17.072,"C7M7",1,0.0994150394212564
"C7",8,2,"F3",22,10,32,4,0.6875,103.28,"10.007","m",4.052,39.125,59.518,18.481,"C7M8",1,0.103565495207668
"C8",1,1,"F8",39,4,43,1,0.906976744,106.01,"11.604","m",4.08,41.527,59.979,18.676,"C8M1",1,0.0982493317600597
"C8",2,2,"F6",29,0,29,2,1,88.88,"10.163","s",3.155,34.86,48.483,18.736,"C8M2",1,0.090504876649455
"C8",3,1,"F8",40,3,43,1,0.930232558,90.8,"11.604","m",3.218,34.568,39.171,17.127,"C8M3",1,0.0930918768803518
"C8",4,2,"F5",51,0,51,2,1,102.5,"9.553","s",3.794,41.24,64.295,18.999,"C8M4",1,0.0919980601357905
"C8",5,1,"F1",43,1,44,1,0.977272727,93.99,"9.965","s",3.15,36.041,45.63,16.96,"C8M5",1,0.0874004605865542
"C8",6,3,"F3",52,1,53,3,0.981132075,93.73,"9.974","s",3.281,36.028,44.952,18.247,"C8M6",1,0.0910680581769735
"C8",7,1,"F4",25,0,25,1,1,95.16,"10.514","s",3.971,39.147,55.616,18.889,"C8M7",1,0.101438168952921
"C8",8,2,"F8",16,2,18,2,0.888888889,99.79,"11.604","m",3.716,39.187,48.624,17.868,"C8M8",1,0.0948273662183888
