"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","maleID","MatingSuccess","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"C5",8,7,"F5",14,0,14,13,1,8.199,"9.558","m","C5M8",1,1,1,14,1.75,0.595744680851064,1,0.074468085106383,1.28767123287671,0.00616258688908142
"C6",1,1,"F7",20,1,21,1,0.952380952,9.094,"9.543","m","C6M1",1,1,1,21,3,0.753846153846154,0.952380952380952,0.102564102564103,1.16801437556155,0.00304002788872849
"C6",3,1,"F8",26,6,32,1,0.8125,8.714,"10.735","m","C6M3",1,1,1,32,4.57142857142857,1.14871794871795,0.8125,0.133333333333333,0.996462264150943,2.05383793849438e-06
"C6",4,1,"F3",32,2,34,1,0.941176471,9.477,"9.835","s","C6M4",1,1,1,34,4.85714285714286,1.22051282051282,0.941176470588235,0.164102564102564,1.1542730299667,0.00414977284283925
"C6",5,2,"F6",38,0,38,2,1,9.391,"11.251","s","C6M5",1,1,1,38,5.42857142857143,1.36410256410256,1,0.194871794871795,1.22641509433962,0.00998986773283676
"C6",6,2,NA,0,21,21,2,0,7.985,NA,NA,"C6M6",1,1,1,21,3,0.753846153846154,0,0,0,0.107692307692308
"C6",7,1,"F8",17,5,22,1,0.772727273,7.991,"10.735","m","C6M7",1,1,1,22,3.14285714285714,0.78974358974359,0.772727272727273,0.0871794871794872,0.947684391080618,0.000308781049258087
"C6",8,2,"F7",26,1,27,2,0.962962963,9.078,"9.543","m","C6M8",1,1,1,27,3.85714285714286,0.969230769230769,0.962962962962963,0.133333333333333,1.18099231306778,0.00453575317702527
"C7",1,1,"F8",24,9,33,1,0.727272727,9.418,"9.164","m","C7M1",1,1.14285714285714,1.30612244897959,33,4.71428571428571,1.32758620689655,0.727272727272727,0.137931034482759,0.897485493230174,0.00199312870829082
"C7",2,NA,NA,0,0,0,NA,NA,9.647,NA,NA,"C7M2",0,0,0,0,0,0,0,0,0,0
"C7",3,5,"F8",40,2,42,9,0.952380952,8.153,"9.164","m","C7M3",1,1.14285714285714,1.30612244897959,42,6,1.68965517241379,0.952380952380952,0.229885057471264,1.17527862208713,0.00741579888018437
"C7",4,3,"F6",2,5,7,7,0.285714286,8.39,"10.416","m","C7M4",1,1.14285714285714,1.30612244897959,7,1,0.281609195402299,0.285714285714286,0.0114942528735632,0.35258358662614,0.0168622763571328
"C7",5,4,"F3",15,0,15,9,1,9.848,"10.007","m","C7M5",1,1.14285714285714,1.30612244897959,15,2.14285714285714,0.603448275862069,1,0.0862068965517241,1.23404255319149,0.0047220617848613
"C7",6,1,"F2",25,1,26,1,0.961538462,8.961,"9.971","s","C7M6",1,1.14285714285714,1.30612244897959,26,3.71428571428571,1.04597701149425,0.961538461538462,0.14367816091954,1.18657937806874,0.00520177282950265
